session_id,video_id,trial_label,event_id,kind,hole_index,is_target,start_frame,end_frame,start_time_s,end_time_s,duration_s,point_used,min_nose_distance_cm,min_centroid_distance_cm,evidence_summary,source,auto_hole_index,auto_start_frame,auto_end_frame,tool_version,schema_version,parameters_hash
Salk Demo,vid_01,1,auto-investigation-h5-f191,investigation,5,false,191,210,6.367,7,0.633,nose,2.35,6.13,"hole 5 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.63 s, frames 191–210 (6.37 s–7.00 s). Nose used on 20 of 20 positioned frames, centroid on the rest. Closest approach: nose 2.4 cm, centroid 6.1 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h5-f276,investigation,5,false,276,292,9.233,9.767,0.534,nose,1.9,5.4,"hole 5 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.53 s, frames 276–292 (9.23 s–9.77 s). Nose used on 17 of 17 positioned frames, centroid on the rest. Closest approach: nose 1.9 cm, centroid 5.4 cm. Merged from 2 bouts at the same hole, the largest gap 0.07 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h6-f307,investigation,6,false,307,385,10.267,12.867,2.6,nose,1.5,3.71,"hole 6 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 2.60 s, frames 307–385 (10.27 s–12.87 s). Nose used on 75 of 79 positioned frames, centroid on the rest. Closest approach: nose 1.5 cm, centroid 3.7 cm. Merged from 2 bouts at the same hole, the largest gap 0.17 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h6-f430,investigation,6,false,430,457,14.367,15.267,0.9,nose,1.5,3.71,"hole 6 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.90 s, frames 430–457 (14.37 s–15.27 s). Nose used on 25 of 28 positioned frames, centroid on the rest. Closest approach: nose 1.5 cm, centroid 3.7 cm. Merged from 2 bouts at the same hole, the largest gap 0.10 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h7-f472,investigation,7,false,472,547,15.767,18.267,2.5,nose,1.66,2.71,"hole 7 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 2.50 s, frames 472–547 (15.77 s–18.27 s). Nose used on 66 of 76 positioned frames, centroid on the rest. Closest approach: nose 1.7 cm, centroid 2.7 cm. Merged from 4 bouts at the same hole, the largest gap 0.33 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h7-f624,investigation,7,false,624,652,20.833,21.8,0.967,nose,2.58,4.52,"hole 7 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.97 s, frames 624–652 (20.83 s–21.80 s). Nose used on 29 of 29 positioned frames, centroid on the rest. Closest approach: nose 2.6 cm, centroid 4.5 cm. Merged from 2 bouts at the same hole, the largest gap 0.10 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h8-f698,investigation,8,false,698,813,23.333,27.167,3.834,centroid,2.32,1.61,"hole 8 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 3.83 s, frames 698–813 (23.33 s–27.17 s). Nose used on 52 of 116 positioned frames, centroid on the rest. Closest approach: nose 2.3 cm, centroid 1.6 cm. Merged from 6 bouts at the same hole, the largest gap 0.33 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h9-f865,investigation,9,false,865,904,28.9,30.2,1.3,nose,1.94,2.12,"hole 9 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 1.30 s, frames 865–904 (28.90 s–30.20 s). Nose used on 40 of 40 positioned frames, centroid on the rest. Closest approach: nose 1.9 cm, centroid 2.1 cm.",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h10-f914,investigation,10,false,914,980,30.533,32.733,2.2,nose,1.75,2.55,"hole 10 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 2.20 s, frames 914–980 (30.53 s–32.73 s). Nose used on 60 of 67 positioned frames, centroid on the rest. Closest approach: nose 1.7 cm, centroid 2.5 cm. Merged from 3 bouts at the same hole, the largest gap 0.13 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
Salk Demo,vid_01,1,auto-investigation-h11-f998,investigation,11,false,998,1025,33.333,34.233,0.9,nose,1.71,2.67,"hole 11 (non-target). Event point within 1.5 × hole radius (3.7 cm) for 0.90 s, frames 998–1025 (33.33 s–34.23 s). Nose used on 27 of 28 positioned frames, centroid on the rest. Closest approach: nose 1.7 cm, centroid 2.7 cm. Merged from 2 bouts at the same hole, the largest gap 0.03 s (merge gap 0.5 s).",auto,,,,barnestrack v0.1.0 (bc81fe7),1,9c3cf1d9fcc38f3dc9bab449a037d020df7a3542029a0517f7e4c318bb742c4d
